Weather,Temperature,Wind Level,Number of workers,Day of the week,Approved
Cloudy,15,1,1,4,No
Cloudy,28,1,3,6,Yes
Cloudy,26,1,4,3,Yes
Cloudy,23,1,4,4,Yes
Cloudy,20,1,2,1,Yes
Cloudy,16,1,7,2,Yes
Cloudy,31,2,5,3,Yes
Cloudy,13,2,4,2,Yes
Cloudy,13,2,5,5,Yes
Cloudy,12,2,3,5,Yes
Cloudy,25,3,1,4,No
Cloudy,11,3,7,3,No
Cloudy,33,3,4,5,Yes
Cloudy,24,3,7,4,Yes
Cloudy,15,3,7,1,Yes
Cloudy,14,3,2,1,Yes
Cloudy,14,3,3,1,Yes
Cloudy,14,3,6,2,Yes
Cloudy,25,4,1,4,No
Cloudy,34,4,5,4,Yes
Cloudy,32,4,3,2,Yes
Cloudy,31,4,3,3,Yes
Cloudy,20,4,6,4,Yes
Cloudy,16,4,5,2,Yes
Cloudy,34,5,2,2,Yes
Cloudy,30,5,4,3,Yes
Cloudy,24,5,2,4,Yes
Cloudy,19,5,2,1,Yes
Cloudy,23,6,4,6,Yes
Cloudy,19,6,6,1,Yes
Cloudy,19,6,7,4,Yes
Cloudy,18,6,4,1,Yes
Cloudy,14,6,6,4,Yes
Cloudy,21,7,1,5,No
Cloudy,19,7,1,2,No
Cloudy,13,7,1,2,No
Cloudy,31,7,5,3,Yes
Cloudy,30,7,6,3,Yes
Cloudy,29,7,5,1,Yes
Cloudy,22,7,3,1,Yes
Cloudy,31,8,1,5,No
Cloudy,28,8,1,1,No
Cloudy,19,8,1,2,No
Cloudy,28,8,5,3,Yes
Cloudy,24,8,3,5,Yes
Cloudy,22,8,2,2,Yes
Cloudy,32,9,3,4,No
Cloudy,31,9,4,6,No
Cloudy,29,9,3,5,No
Cloudy,25,9,7,2,No
Cloudy,23,9,4,2,No
Cloudy,17,9,6,5,No
Cloudy,16,9,4,1,No
Cloudy,15,9,4,1,No
Cloudy,14,9,1,1,No
Cloudy,34,10,2,1,No
Cloudy,33,10,6,4,No
Cloudy,28,10,6,6,No
Cloudy,27,10,4,2,No
Cloudy,25,10,5,5,No
Cloudy,22,10,3,1,No
Cloudy,20,10,5,3,No
Cloudy,18,10,1,4,No
Cloudy,12,10,3,1,No
Cloudy,11,10,7,1,No
Rainy,12,1,7,1,No
Rainy,17,2,5,4,No
Rainy,21,3,7,4,No
Rainy,27,3,4,6,Yes
Rainy,25,3,6,1,Yes
Rainy,23,4,5,6,Yes
Rainy,12,5,1,4,No
Rainy,23,5,5,3,Yes
Rainy,27,6,1,2,No
Rainy,24,6,5,7,No
Rainy,12,6,3,6,No
Rainy,34,6,7,3,Yes
Rainy,28,6,4,6,Yes
Rainy,24,6,6,1,Yes
Rainy,29,7,6,3,No
Rainy,25,7,4,5,No
Rainy,15,8,4,3,No
Rainy,24,8,2,2,No
Rainy,32,9,6,5,No
Rainy,30,9,3,5,No
Rainy,29,9,4,3,No
Rainy,23,9,5,6,No
Rainy,19,9,7,6,No
Rainy,14,9,4,1,No
Rainy,29,10,1,2,No
Rainy,24,10,3,4,No
Sunny,33,1,1,3,No
Sunny,29,1,1,1,No
Sunny,29,1,1,2,No
Sunny,23,1,4,7,No
Sunny,22,1,5,7,No
Sunny,20,1,1,1,No
Sunny,18,1,1,6,No
Sunny,15,1,1,6,No
Sunny,13,1,1,6,No
Sunny,12,1,1,2,No
Sunny,12,1,1,3,No
Sunny,11,1,3,2,No
Sunny,11,1,2,4,No
Sunny,11,1,4,5,No
Sunny,34,1,5,4,Yes
Sunny,34,1,6,6,Yes
Sunny,33,1,3,1,Yes
Sunny,32,1,4,2,Yes
Sunny,32,1,2,3,Yes
Sunny,32,1,5,5,Yes
Sunny,31,1,6,4,Yes
Sunny,30,1,7,2,Yes
Sunny,29,1,3,5,Yes
Sunny,27,1,3,1,Yes
Sunny,27,1,6,2,Yes
Sunny,27,1,6,4,Yes
Sunny,27,1,7,4,Yes
Sunny,26,1,3,3,Yes
Sunny,26,1,3,6,Yes
Sunny,24,1,2,5,Yes
Sunny,23,1,4,1,Yes
Sunny,23,1,6,3,Yes
Sunny,22,1,2,5,Yes
Sunny,21,1,4,2,Yes
Sunny,19,1,5,1,Yes
Sunny,19,1,7,2,Yes
Sunny,19,1,6,3,Yes
Sunny,19,1,6,5,Yes
Sunny,18,1,6,5,Yes
Sunny,17,1,4,5,Yes
Sunny,15,1,4,3,Yes
Sunny,15,1,3,4,Yes
Sunny,14,1,3,4,Yes
Sunny,14,1,7,6,Yes
Sunny,12,1,5,2,Yes
Sunny,12,1,7,3,Yes
Sunny,12,1,3,4,Yes
Sunny,33,2,1,2,No
Sunny,26,2,1,3,No
Sunny,25,2,1,1,No
Sunny,25,2,1,5,No
Sunny,19,2,1,3,No
Sunny,16,2,1,6,No
Sunny,15,2,1,1,No
Sunny,11,2,5,2,No
Sunny,34,2,2,1,Yes
Sunny,33,2,3,3,Yes
Sunny,32,2,3,1,Yes
Sunny,32,2,5,3,Yes
Sunny,31,2,4,6,Yes
Sunny,30,2,5,5,Yes
Sunny,30,2,6,6,Yes
Sunny,29,2,2,3,Yes
Sunny,28,2,7,1,Yes
Sunny,26,2,5,1,Yes
Sunny,26,2,7,1,Yes
Sunny,25,2,3,5,Yes
Sunny,25,2,7,5,Yes
Sunny,25,2,7,6,Yes
Sunny,23,2,2,3,Yes
Sunny,22,2,4,4,Yes
Sunny,21,2,5,2,Yes
Sunny,20,2,2,2,Yes
Sunny,19,2,7,6,Yes
Sunny,18,2,6,2,Yes
